model,task_id,trial_id,success,mp4_path
StarVLA-OFT-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,0,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode0_success.mp4
StarVLA-OFT-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,1,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode1_success.mp4
StarVLA-OFT-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,2,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode2_success.mp4
StarVLA-OFT-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,3,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode3_success.mp4
StarVLA-OFT-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,4,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode4_success.mp4
StarVLA-OFT-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,5,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode5_success.mp4
StarVLA-OFT-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode6_success.mp4
StarVLA-OFT-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,7,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode7_success.mp4
StarVLA-OFT-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,8,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode8_success.mp4
StarVLA-OFT-Qwen3VL,pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,9,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_episode9_success.mp4
StarVLA-OFT-Qwen3VL,put_both_moka_pots_on_the_stove,0,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode0_success.mp4
StarVLA-OFT-Qwen3VL,put_both_moka_pots_on_the_stove,1,0,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode1_failure.mp4
StarVLA-OFT-Qwen3VL,put_both_moka_pots_on_the_stove,2,0,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode2_failure.mp4
StarVLA-OFT-Qwen3VL,put_both_moka_pots_on_the_stove,3,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode3_success.mp4
StarVLA-OFT-Qwen3VL,put_both_moka_pots_on_the_stove,4,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode4_success.mp4
StarVLA-OFT-Qwen3VL,put_both_moka_pots_on_the_stove,5,0,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode5_failure.mp4
StarVLA-OFT-Qwen3VL,put_both_moka_pots_on_the_stove,6,0,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode6_failure.mp4
StarVLA-OFT-Qwen3VL,put_both_moka_pots_on_the_stove,7,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode7_success.mp4
StarVLA-OFT-Qwen3VL,put_both_moka_pots_on_the_stove,8,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode8_success.mp4
StarVLA-OFT-Qwen3VL,put_both_moka_pots_on_the_stove,9,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_moka_pots_on_the_stove_episode9_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,0,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_episode0_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,1,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_episode1_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,2,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_episode2_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,3,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_episode3_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,4,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_episode4_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,5,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_episode5_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,6,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_episode6_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,7,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_episode7_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,8,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_episode8_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,9,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_episode9_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,0,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_episode0_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,1,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_episode1_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,2,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_episode2_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,3,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_episode3_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,4,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_episode4_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,5,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_episode5_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,6,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_episode6_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,7,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_episode7_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_episode8_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,9,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_episode9_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_cream_cheese_box_and_the_butter_in_the_basket,0,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_episode0_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_cream_cheese_box_and_the_butter_in_the_basket,1,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_episode1_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_cream_cheese_box_and_the_butter_in_the_basket,2,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_episode2_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_cream_cheese_box_and_the_butter_in_the_basket,3,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_episode3_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_cream_cheese_box_and_the_butter_in_the_basket,4,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_episode4_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_cream_cheese_box_and_the_butter_in_the_basket,5,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_episode5_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_cream_cheese_box_and_the_butter_in_the_basket,6,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_episode6_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_cream_cheese_box_and_the_butter_in_the_basket,7,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_episode7_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_cream_cheese_box_and_the_butter_in_the_basket,8,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_episode8_success.mp4
StarVLA-OFT-Qwen3VL,put_both_the_cream_cheese_box_and_the_butter_in_the_basket,9,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_episode9_success.mp4
StarVLA-OFT-Qwen3VL,put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_episode0_success.mp4
StarVLA-OFT-Qwen3VL,put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_episode1_success.mp4
StarVLA-OFT-Qwen3VL,put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,2,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_episode2_success.mp4
StarVLA-OFT-Qwen3VL,put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,3,0,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_episode3_failure.mp4
StarVLA-OFT-Qwen3VL,put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,4,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_episode4_success.mp4
StarVLA-OFT-Qwen3VL,put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,5,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_episode5_success.mp4
StarVLA-OFT-Qwen3VL,put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,6,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_episode6_success.mp4
StarVLA-OFT-Qwen3VL,put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,7,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_episode7_success.mp4
StarVLA-OFT-Qwen3VL,put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,8,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_episode8_success.mp4
StarVLA-OFT-Qwen3VL,put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,9,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_episode9_success.mp4
StarVLA-OFT-Qwen3VL,put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_episode0_success.mp4
StarVLA-OFT-Qwen3VL,put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,1,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_episode1_success.mp4
StarVLA-OFT-Qwen3VL,put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,2,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_episode2_success.mp4
StarVLA-OFT-Qwen3VL,put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,3,1,/mnt/cpfs/zch/pav_checkpoints/stage1_oft_libero_10_seed42/results/libero_10/stage1_oft_libero_10_seed42_final_model_pytorch_model.pt/rollout_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_episode3_success.mp4
