metric,value,threshold_low,threshold_high,pass
D1a_mean_pairwise_cos,-0.0008551059872843325,0.3,0.7,False
D1b_min_mode_freq_end,0.0,0.1,,False
D1b_min_mode_freq_delta,0.0,0.1,,False
D1c_pearson_sigma_err,-0.8990703139745853,0.4,,False
D1b_cov_end_k0,0.0,,,
D1b_cov_end_k1,0.0,,,
D1b_cov_end_k2,1.0,,,
D1b_cov_end_k3,0.0,,,
D1d_min_router_freq_end,0.0,0.1,,False
D1d_min_router_freq_delta,0.0,0.1,,False
D1d_router_freq_end_k0,0.0,,,
D1d_router_freq_end_k1,0.0,,,
D1d_router_freq_end_k2,1.0,,,
D1d_router_freq_end_k3,0.0,,,
D1d_router_freq_delta_k0,0.0,,,
D1d_router_freq_delta_k1,0.0,,,
D1d_router_freq_delta_k2,0.0,,,
D1d_router_freq_delta_k3,1.0,,,
